2019-10-16 02:21:54+00:00," It also brings Shifty’s fraudulent MADE UP CALL, which he read to the United States Congress pretending it to be the words of President Trump, which they were not!",1
2020-03-13 10:22:19+00:00," Their response to H1N1 Swine Flu was a full scale disaster, with thousands dying, and nothing meaningful done to fix the testing problem, until now.",1
2020-04-20 15:37:22+00:00," “Testing, Testing, Testing,” again playing a very dangerous political game.",0
2019-12-06 16:00:28+00:00,#2020,0
2019-12-13 11:53:54+00:00,#2020Election,0
2019-12-10 12:37:52+00:00,#2020Election,0
2019-12-15 22:28:02+00:00,#2020Election,0
2019-11-06 04:37:49+00:00,"#ElectionNight  Won 5 out of 6 elections in Kentucky, including 5 great candidates that I spoke for and introduced last night.",0
2020-03-17 13:34:01+00:00,#KILLTHEVIRUS,0
2020-03-28 04:21:32+00:00,#MAGA,0
2020-04-03 17:14:22+00:00,#MAGA,0
2019-12-11 23:45:03+00:00,#MAGA,0
2019-10-30 14:51:35+00:00,#MAGA,0
2020-04-15 19:02:47+00:00,#MAGA,0
2020-03-28 02:29:57+00:00,#MAGA,0
2020-03-28 01:24:32+00:00,#MAGA,0
2020-02-19 23:58:28+00:00,#MAGA #KAG2020,0
2019-11-09 19:31:10+00:00,#MAGA #KAG2020,0
2019-12-15 18:24:28+00:00,#MAGAKAG #2020,0
2020-02-18 03:12:01+00:00,#PrayingForRyan,0
2019-12-21 03:32:15+00:00,#RuralProsperity,0
2019-10-19 12:32:36+00:00,#StopTheCoup,0
2020-03-22 14:52:09+00:00,#TEAMWORK,0
2020-03-04 03:23:58+00:00,"$700 million washed down the drain, and he got nothing for it but the nickname Mini Mike, and the complete destruction of his reputation.",1
2019-11-14 11:54:17+00:00,- but not Shifty!,1
2019-12-19 12:31:56+00:00,100% Republican Vote.,0
2020-03-12 20:02:21+00:00,"108 countries are dealing with the CoronaVirus problem, some of which we are helping!",0
2019-10-13 23:09:01+00:00,"10:00 P.M. No guests, just Mark.",0
2020-02-12 02:45:15+00:00,13 Angry Democrats?,1
2019-12-21 04:43:40+00:00,135 times since my 2016 Election Win.,0
2019-11-01 01:32:44+00:00,"1600 Pennsylvania Avenue, the White House, is the place I have come to love and will stay for, hopefully, another 5 years as we MAKE AMERICA GREAT AGAIN, but my family and I will be making Palm Beach, Florida, our Permanent Residence.",0
2020-04-17 16:25:30+00:00,"17,000 people died unnecessarily and through incompetence!",1
2019-10-22 11:54:36+00:00,185 out of 185 present voted for “US” last night.,0
2019-12-24 22:32:38+00:00,"187 new Federal Judges have been confirmed under the Trump Administration, including two great new United States Supreme Court Justices.",0
2020-01-26 16:24:41+00:00,"191 Federal Judges a record, and two Supreme Court Justices, approved.",0
2020-01-06 14:39:43+00:00,"196 to ZERO was the Republican House vote, and we got 3 Dems.",0
2020-02-23 23:07:43+00:00,2 Supreme Court Justices.,0
2019-12-25 20:32:42+00:00,"2019 HOLIDAY RETAIL SALES WERE UP 3.4% FROM LAST YEAR, THE BIGGEST NUMBER IN U.S. HISTORY.",0
2020-02-23 23:07:43+00:00,"218 Federal Judges, also a Record.",0
2019-12-14 02:27:02+00:00,25 Million Evangelical Christians are not registered to vote.,0
2020-01-16 13:41:21+00:00,"250 Billion Dollars will be coming back to our Country, and we are now in a great position for a Phase Two start.",0
2019-12-27 16:37:20+00:00,2870 officially recognizing Little Shell Tribe of Chippewa Indians.,0
2019-12-16 14:25:14+00:00,3 years ago they were forced to publicly apologize for modulating my microphone in the first debate against Crooked Hillary.,0
2020-04-02 13:17:22+00:00,51 large cargo planes coming in with medical supplies.,0
2020-02-26 02:34:31+00:00,52% in the new Rasmussen Poll.,0
2020-01-11 14:35:53+00:00,53% Approval Rating overall can we add 7 to 10 percent because of the Trump “thing?”.,0
2020-02-10 11:47:57+00:00,53% overall plus add 9 points?.,0
2020-03-27 19:38:04+00:00,5:00 P.M. Eastern!,0
2020-03-27 20:32:53+00:00,5:30 P.M. Eastern!,0
2020-03-14 00:42:25+00:00,"6201: Families First CoronaVirus Response Act, which will be voted on in the House this evening.",0
2019-10-13 03:13:10+00:00,66% down to 47% after I explained what a bad job the Governor was doing.,0
2020-01-09 14:54:59+00:00,"70%, 80%, 90% up?",0
2020-01-09 15:47:49+00:00,"70%, 80%, 90% up?",0
2019-11-24 12:34:33+00:00,75% to 25%.,0
2020-03-27 13:44:50+00:00,90% GREAT!,0
2019-10-22 11:37:03+00:00,94% of the people in these battleground states who voted for President Trump want him to continue as President.,0
2019-11-18 12:29:38+00:00,95% A.R.,0
